bone_length,rotting_flesh,hair_length,has_soul,red,green,blue,alpha,type
0.354512184582154,0.35083902671065,0.465760891829121,0.78114166586219,255,255,255,0,Ghoul
0.323612623781796,0.431312367913023,0.205096732307795,0.257616745586669,255,255,255,0,Ghost
0.630470590040767,0.581028676634895,0.647251422828793,0.505213426680122,255,255,255,0,Ghoul
0.47205914558854,0.493985850838624,0.55669143550218,0.563720163134143,255,255,255,0,Ghoul
0.468840718892886,0.517417621780213,0.620955711531145,0.62484826028436,255,255,255,0,Goblin
0.481639730978911,0.501147115043519,0.496446249502965,0.544003231640007,255,255,255,0,Ghoul
0.200752565093372,0.277944719011312,0.568534255778636,0.556149201619786,255,255,255,0,Ghoul
0.516223898111655,0.536428745698462,0.61277614658516,0.468048269648473,255,255,255,0,Ghoul
0.362887106915342,0.64872488487384,0.631183772898608,0.44504547881068,255,255,255,0,Goblin
0.295229142062446,0.331809378508295,0.586854065757369,0.490878793727437,255,255,255,0,Goblin
0.431685213339481,0.438959273159348,0.239212487997394,0.47181956271875,255,255,255,0,Goblin
0.584543226402469,0.593081935615642,0.681165762342038,0.935721333110703,255,255,255,0,Ghoul
0.617832409832674,0.280868339092728,0.527575926359048,0.697268130706129,255,255,255,0,Goblin
0.404423790573961,0.464504241931648,0.504417153980203,0.409003167288787,255,255,255,0,Ghost
0.513387221393154,0.301344761581732,0.74567556546844,0.545792299038489,255,255,255,0,Goblin
0.500196552023658,0.438418145438768,0.532529814768949,0.665522429656885,255,255,255,0,Ghoul
0.297147848268564,0.531544217494227,0.31200160374415,0.382699555004871,255,255,255,0,Goblin
0.47632004161357,0.286226084600616,0.488843365467749,0.411460641622494,255,255,255,0,Goblin
0.416151753285624,0.418086786674862,0.802077295889095,0.454921936778618,255,255,255,0,Ghoul
0.168908500393873,0.648866470119319,0.303927408524465,0.25543993488181,255,255,255,0,Ghost
0.503164057832666,0.464055333613106,0.497782802951048,0.472031049188528,255,255,255,0,Goblin
0.207873848249229,0.545293678296837,0.357987382264476,0.484054634372439,255,255,255,0,Ghost
0.374448573799757,0.384183131284588,0.675868360795299,0.414700334239582,255,255,255,0,Goblin
0.534987669460839,0.477419118749979,0.719350630135597,0.44744371634454,255,255,255,0,Ghoul
0.687255500291495,0.301576168127288,0.761948730693075,0.51377873086033,255,255,255,0,Ghoul
0.374148426111467,0.344589804955915,0.636339730947356,0.248143262183225,255,255,255,0,Ghost
0.388500547896341,0.342305848854009,0.669627290963949,0.538648669014967,255,255,255,0,Goblin
0.644175554414937,0.593844071877417,0.728079053123529,0.561781958747674,255,255,255,0,Ghoul
0.527762187056468,0.685869626893065,0.584434885452836,0.557136135204974,255,255,255,0,Goblin
0.304197785967004,0.266904231147935,0.527224882371446,0.386713412369317,255,255,255,0,Goblin
0.672977064355436,0.620478553916359,0.435714477261103,0.328716585378118,255,255,255,0,Ghoul
0.29181552912435,0.498400440932576,0.587628012145171,0.23796628009425,255,255,255,0,Ghost
0.669419090147546,0.672587922802271,0.88308762324,0.524492410792037,255,255,255,0,Ghoul
0.355087018360115,0.444024487321016,0.535344482391558,0.246346722340889,255,255,255,0,Goblin
0.42193354110951,0.250401094563373,0.851171467021103,0.580752562235999,255,255,255,0,Ghoul
0.329668208763034,0.33199874443215,0.396428674082439,0.507142310737253,255,255,255,0,Goblin
0.41657719942837,0.458522527148892,0.768333052282381,0.654006422800089,255,255,255,0,Goblin
0.636346770111972,0.501060729410613,0.737795370234414,0.695588753036968,255,255,255,0,Ghoul
0.192908572003429,0.50409018360907,0.383678820242579,0.307533751985511,255,255,255,0,Ghost
0.501305752172094,0.536995381580971,0.631199148450518,0.591106456542513,255,255,255,0,Ghoul
0.482716183768335,0.561481465906131,0.531422881401943,0.56065878380943,255,255,255,0,Ghoul
0.252733202361468,0.458745502413772,0.596835285001013,0.68308948766362,255,255,255,0,Goblin
0.486744013313679,0.462666487689451,0.840012568582283,0.353382723025757,255,255,255,0,Goblin
0.476768596926305,0.438414106389393,0.586393552057904,0.583393749403542,255,255,255,0,Goblin
0.51527498373614,0.582627187028709,0.568721185128968,0.534078615786505,255,255,255,0,Goblin
0.34408685581217,0.24466193969231,0.529963477538312,0.377121422586196,255,255,255,0,Goblin
0.357145362992381,0.489931419712909,0.698189984147476,0.753687080953103,255,255,255,0,Ghoul
0.268141288100927,0.665223919623531,0.234943832038145,0.321622609676948,255,255,255,0,Ghost
0.521779901441308,0.2776273196631,0.70121444132538,0.567563324551055,255,255,255,0,Ghoul
0.493394754827891,0.501551767875182,0.660366861706103,0.605896960260879,255,255,255,0,Ghoul
0.197070660228683,0.455686332672358,0.451489572119237,0.417515674227821,255,255,255,0,Ghost
0.167798487916845,0.812292909623428,0.507360591002363,0.414696818571293,255,255,255,0,Ghost
0.445131716664347,0.932466094906256,0.218731541701525,0.0433212009255868,255,255,255,0,Ghost
0.376472952085311,0.646372319536059,0.609449079243181,0.384292946167482,255,255,255,0,Ghost
0.14507076368102,0.395060130930398,0.333883527840349,0.286773417572454,255,255,255,0,Ghost
0.50052330837114,0.390165755043039,0.457502837948198,0.346474294084263,255,255,255,0,Ghost
0.304301526198481,0.463014723833442,0.385386855778536,0.219312527594425,255,255,255,0,Ghost
0.600556901763535,0.454213192967561,0.556331089047415,0.693148748992356,255,255,255,0,Ghoul
0.354046689329568,0.540751999739077,0.571209600693808,0.243775304318101,255,255,255,0,Ghost
0.417300105893307,0.377594881951049,0.541833864734414,0.349087299318374,255,255,255,0,Goblin
0.622413651059006,0.497614114829626,0.465418693579908,0.459140754923458,255,255,255,0,Goblin
0.294942948257214,0.771286156249868,0.58350254340612,0.300618039026775,255,255,255,0,Ghost
0.165196388911737,0.716798254758944,0.468755351877752,0.253623717917218,255,255,255,0,Ghost
0.571501984385782,0.315791870739388,0.765131104827964,0.575138929878069,255,255,255,0,Goblin
0.712913218975779,0.531891941769156,0.756464793513405,0.453633833089706,255,255,255,0,Ghoul
0.519827400096796,0.568441021949712,0.434171230854405,0.351850954211192,255,255,255,0,Ghost
0.271734981373895,0.595191375859022,0.176882191605726,0.287289795404342,255,255,255,0,Ghost
0.475316359799399,0.529209760113837,0.30735753286882,0.230360817116194,255,255,255,0,Ghost
0.565521337920201,0.422096649509632,0.598681844667116,0.64240596763124,255,255,255,0,Ghoul
0.3087546910595,0.705034119532982,0.643467626210521,0.583749966942021,255,255,255,0,Ghoul
0.571056184029846,0.729872901183167,0.421165702867304,0.785422631699581,255,255,255,0,Ghoul
0.390669429069777,0.841120299805572,0.195072082128112,0.307667900881588,255,255,255,0,Ghost
0.421216578971181,0.549165000188886,0.474128435783814,0.425993307347884,255,255,255,0,Ghost
0.483905087656165,0.569917093367927,0.6347676415211,0.506432504070084,255,255,255,0,Goblin
0.285022093631774,0.492315345895691,0.720678260895585,0.689884807797621,255,255,255,0,Goblin
0.480836000781857,0.407930152235162,0.539004585032077,0.495069123498046,255,255,255,0,Goblin
0.498336384653677,0.374374391916257,0.579925795870067,0.511726043098702,255,255,255,0,Goblin
0.446040975855114,0.236141938905937,0.620912449924024,0.612720425460397,255,255,255,0,Goblin
0.631327203284584,0.411749248544665,0.707608891217057,0.769455386932203,255,255,255,0,Ghoul
0.587570659847358,0.448059787891299,0.706311766057396,0.583415335471317,255,255,255,0,Ghoul
0.18778053000659,0.736491045858784,0.344347899670732,0.346306246250573,255,255,255,0,Ghost
0.413576442863924,0.356862709459289,0.658540183555987,0.464002154426987,255,255,255,0,Goblin
0.332134279197418,0.577321044602713,0.445859618411987,0.409525500194235,255,255,255,0,Ghost
0.439624580890338,0.514179514008636,0.816121631006832,0.651491373763815,255,255,255,0,Ghoul
0.275021137662658,0.689974926193199,0.586512780137774,0.402748550734182,255,255,255,0,Goblin
0.588413364980418,0.656242443668295,0.835500631549969,0.636101230182823,255,255,255,0,Ghoul
0.532590108424695,0.375697548491249,0.553827479570762,0.6794031601977,255,255,255,0,Ghoul
0.440132511824718,0.391157060829443,0.57198307632316,0.431373254848531,255,255,255,0,Goblin
0.444009259562678,0.416513187840329,0.718761672743789,0.508056548245299,255,255,255,0,Ghoul
0.403994556160905,0.682687412876255,0.372529062910916,0.499520431057737,255,255,255,0,Ghost
0.339569098440343,0.44148995826125,0.448989193397961,0.756766360665574,255,255,255,0,Goblin
0.350838081677592,0.454636954496815,0.783000891298478,0.674478604339217,255,255,255,0,Ghoul
0.378811034511508,0.347287498974996,0.664434277417074,0.504178837494413,255,255,255,0,Goblin
0.377756083204478,0.593537236046221,0.595628689954368,0.532594228198294,255,255,255,0,Goblin
0.424492769834517,0.273025586846547,0.393656933588685,0.363907334270061,255,255,255,0,Goblin
